obf_Institution_Code,obf_Institution_Name,obf_Academic_Year,OBF1.1.D,OBF1.1.N,OBF1.1.R,OBF1.1M,OBF1.2.D,OBF1.2.N,OBF1.2.R,OBF1.2M,OBF2.1.D,OBF2.1.N,OBF2.1.R,OBF2.1M,OBF2.2.D,OBF2.2.N,OBF2.2.R,OBF2.2M,OBF2.3.D,OBF2.3.N,OBF2.3.R,OBF2.3M,OBF2.4.D,OBF2.4.N,OBF2.4.R,OBF2.4M,OBF2.5.D,OBF2.5.N,OBF2.5.R,OBF2.5M,OBF2.6.D,OBF2.6.N,OBF2.6.N,OBF2.6M,OBF3.1.D,OBF3.1.N,OBF3.1.R,OBF3.1M,OBF3.2.D,OBF3.2.N,OBF3.2.R,OBF3.2M,OBF3.3.D,OBF3.3.N,OBF3.3.R,OBF3.3M,OBF3.4.D,OBF3.4.N,OBF3.4.R,OBF3.4M,OBF4.1.D,OBF4.1.N,OBF4.1.R,OBF4.1M,OBF4.2.D,OBF4.2.N,OBF4.2.R,OBF4.2M,OBF4.3.D,OBF4.3.N,OBF4.3.R,OBF4.3M,OBF4.4.D,OBF4.4.N,OBF4.4.R,OBF4.4M,OBF4.5.D,OBF4.5.N,OBF4.5.R,OBF4.5M,OBF4.6.D,OBF4.6.N,OBF4.6.R,OBF4.6M,OBF5.1.D,OBF5.1.N,OBF5.1.R,OBF5.1M,OBF5.2.D,OBF5.2.N,OBF5.2.R,OBF5.2M,OBF5.4.D,OBF5.4.N,OBF5.4.R,OBF5.4M,OBF6.1.D,OBF6.1.N,OBF6.1.R,OBF6.1M,OBF6.2.D,OBF6.2.N,OBF6.2.R,OBF6.2M,Last_Updated
83,British University in Dubai,202425,56,96,39,Default,95,64,18,Regular,12,9,61,Regular,34,17,62,Regular,91,87,36,Regular,86,23,85,Normal,69,41,1,Default,83,85,85,Normal,97,61,63,Normal,37,81,75,Normal,79,53,34,Regular,11,38,96,Primary,18,79,22,Normal,95,45,60,Normal,77,11,93,Default,67,72,45,Primary,19,49,54,Primary,92,59,51,Normal,50,49,56,Regular,24,23,17,Regular,89,71,69,Primary,27,60,88,Normal,4,52,23,Regular,2021-03-03
78,American University of Sharjah,202526,54,25,8,Regular,64,40,91,Regular,82,3,67,Standard,68,40,60,Standard,9,36,9,Regular,32,4,67,Normal,22,100,50,Standard,5,84,84,Default,54,95,85,Default,19,80,98,Default,22,21,68,Normal,87,50,78,Default,47,73,49,Normal,83,49,23,Standard,83,12,97,Default,45,8,13,Primary,100,38,100,Standard,57,5,82,Regular,47,31,95,Regular,81,11,82,Default,49,35,33,Standard,15,27,54,Standard,27,58,55,Normal,2020-06-13
80,Abu Dhabi University,202526,14,13,53,Default,44,35,78,Primary,60,33,78,Normal,94,11,29,Standard,13,99,32,Regular,51,50,59,Default,52,27,57,Standard,15,89,89,Normal,32,71,84,Regular,10,5,61,Default,84,18,15,Standard,54,77,85,Regular,16,17,51,Default,10,61,1,Standard,38,5,59,Default,57,45,77,Default,7,66,84,Regular,4,50,80,Normal,47,62,16,Default,84,36,74,Normal,7,27,83,Default,55,21,62,Standard,41,54,29,Primary,2024-05-29
79,University of Sharjah,202526,36,97,39,Normal,81,72,36,Normal,53,30,71,Default,94,53,46,Regular,38,97,76,Normal,82,88,77,Default,58,81,79,Normal,61,99,99,Regular,98,80,51,Primary,46,77,67,Normal,66,50,14,Normal,23,90,21,Primary,8,72,44,Regular,68,67,81,Default,45,51,35,Standard,34,1,3,Regular,40,39,25,Default,2,92,51,Default,23,32,37,Primary,66,21,69,Primary,78,39,3,Regular,30,13,4,Standard,20,58,35,Default,2023-08-08
84,Dubai Medical College,202425,62,45,31,Normal,4,32,62,Standard,35,46,71,Regular,8,29,82,Regular,40,36,16,Standard,72,36,92,Standard,91,73,25,Normal,26,78,78,Primary,66,54,97,Primary,9,35,19,Normal,55,40,99,Normal,30,72,72,Standard,7,48,27,Normal,43,14,7,Standard,58,35,42,Normal,40,85,33,Default,85,20,97,Default,60,12,6,Primary,37,86,62,Default,11,78,61,Standard,12,8,56,Regular,25,80,33,Regular,9,5,36,Normal,2025-04-03
82,American University in Dubai,202425,27,42,90,Regular,67,20,46,Standard,26,14,44,Regular,72,82,67,Normal,86,67,98,Normal,65,3,54,Primary,8,80,47,Standard,80,30,30,Normal,10,89,98,Normal,42,92,92,Normal,40,68,36,Normal,62,86,38,Primary,83,3,89,Normal,37,10,65,Standard,89,78,72,Primary,75,13,65,Normal,74,37,77,Standard,21,24,99,Standard,11,30,19,Primary,42,26,87,Default,92,72,19,Standard,54,66,64,Normal,65,94,33,Default,2023-05-25
76,Zayed University,202425,15,12,96,Normal,59,17,72,Standard,24,8,59,Standard,20,11,87,Normal,28,74,34,Regular,59,62,99,Standard,32,59,21,Regular,59,76,76,Regular,90,87,71,Primary,22,55,76,Regular,12,59,46,Default,55,60,73,Normal,9,39,26,Standard,14,81,81,Standard,7,26,62,Standard,83,68,23,Standard,84,33,69,Primary,42,71,20,Regular,16,6,76,Normal,4,9,12,Regular,58,3,4,Standard,4,71,19,Standard,29,32,94,Regular,2022-08-09
84,Dubai Medical College,202425,60,26,49,Normal,79,17,20,Default,53,73,95,Standard,29,30,3,Primary,96,69,42,Standard,5,63,82,Default,41,67,56,Primary,91,90,90,Primary,40,67,98,Default,41,8,2,Regular,75,5,97,Regular,83,76,8,Normal,68,48,7,Default,60,48,29,Default,23,64,58,Standard,61,64,7,Standard,94,20,78,Standard,20,1,50,Standard,96,83,21,Standard,42,61,6,Default,83,26,3,Primary,51,37,58,Regular,71,82,30,Default,2021-03-26
76,Zayed University,202526,45,14,64,Standard,31,63,78,Regular,78,24,89,Regular,10,76,39,Standard,88,83,76,Primary,55,21,50,Primary,23,32,79,Standard,51,61,61,Default,52,21,93,Normal,45,33,2,Regular,63,28,2,Normal,35,75,69,Default,40,68,81,Primary,8,40,19,Regular,97,25,66,Normal,4,67,44,Default,24,43,75,Primary,36,23,23,Primary,71,58,83,Default,5,92,67,Normal,29,87,82,Standard,42,66,49,Regular,74,18,65,Default,2023-04-20
78,American University of Sharjah,202425,16,16,38,Primary,69,50,11,Normal,2,17,69,Default,52,85,99,Default,30,96,99,Normal,16,4,74,Default,9,12,81,Regular,93,39,39,Primary,13,18,80,Default,12,14,18,Standard,65,61,32,Normal,4,62,67,Standard,14,52,4,Primary,48,18,46,Standard,31,55,71,Standard,30,42,22,Primary,92,33,19,Normal,25,5,68,Normal,41,59,51,Regular,32,97,53,Standard,87,93,80,Default,91,80,66,Standard,88,82,56,Normal,2021-12-07
78,American University of Sharjah,202526,58,54,42,Normal,55,7,35,Standard,33,10,91,Normal,17,80,80,Regular,27,72,29,Standard,38,89,83,Standard,76,88,8,Regular,32,18,18,Primary,23,73,32,Default,47,48,71,Primary,82,9,36,Standard,100,50,3,Primary,77,7,4,Standard,30,85,15,Primary,42,56,49,Default,12,97,94,Normal,1,77,68,Default,50,40,99,Primary,37,45,25,Default,63,55,56,Normal,50,69,65,Standard,53,85,23,Normal,94,33,11,Regular,2023-11-19
84,Dubai Medical College,202425,27,56,36,Normal,35,57,20,Normal,36,42,91,Primary,36,9,5,Normal,55,76,100,Standard,46,32,10,Default,66,37,18,Normal,54,37,37,Regular,61,30,52,Standard,41,100,54,Regular,22,45,49,Regular,7,24,53,Regular,25,54,59,Primary,13,52,24,Default,43,22,47,Normal,96,43,59,Primary,45,89,27,Default,34,69,50,Default,74,60,43,Normal,61,76,62,Default,23,89,2,Primary,2,88,13,Primary,77,68,80,Default,2023-09-10
83,British University in Dubai,202425,91,50,78,Default,12,36,67,Default,70,75,71,Standard,3,48,54,Standard,95,61,82,Standard,66,63,71,Normal,89,56,83,Default,80,99,99,Default,46,30,79,Regular,67,51,65,Normal,47,38,87,Primary,39,22,18,Default,15,77,50,Default,58,88,46,Normal,94,55,90,Primary,2,66,31,Default,65,23,35,Default,58,93,83,Default,67,96,83,Regular,89,50,46,Regular,3,64,6,Normal,71,2,18,Normal,67,13,49,Primary,2024-04-13
84,Dubai Medical College,202526,7,95,76,Default,38,52,17,Default,51,56,15,Standard,87,53,76,Normal,95,58,69,Default,16,71,56,Primary,60,44,36,Standard,65,14,14,Regular,43,1,95,Standard,57,33,6,Regular,22,91,29,Standard,80,34,42,Normal,30,44,70,Primary,100,83,92,Normal,99,33,59,Primary,2,5,26,Normal,29,90,33,Normal,76,28,35,Default,22,75,10,Primary,30,47,80,Regular,69,3,61,Standard,38,70,76,Normal,48,86,93,Regular,2024-09-08
78,American University of Sharjah,202425,56,85,94,Regular,43,53,74,Primary,97,84,49,Default,43,37,58,Primary,70,49,10,Regular,50,81,90,Default,39,45,20,Default,45,100,100,Normal,67,91,93,Normal,87,81,92,Standard,97,8,73,Default,52,62,46,Primary,32,13,52,Standard,98,36,87,Primary,29,7,41,Normal,50,73,5,Default,93,30,53,Primary,94,36,6,Normal,73,53,15,Standard,57,55,83,Standard,19,94,31,Normal,40,86,36,Normal,28,15,52,Default,2025-09-16
84,Dubai Medical College,202526,98,51,87,Primary,10,10,60,Regular,78,16,59,Default,72,2,51,Primary,73,47,90,Default,27,57,84,Normal,86,53,74,Primary,58,20,20,Primary,78,16,22,Standard,65,54,90,Regular,43,33,34,Standard,85,62,97,Regular,53,32,58,Primary,59,7,25,Default,19,52,11,Standard,99,92,72,Normal,74,73,12,Standard,91,58,54,Standard,11,95,13,Standard,19,27,32,Standard,69,55,42,Standard,92,45,15,Primary,26,92,34,Regular,2023-03-27
77,Khalifa University,202526,96,39,22,Standard,61,87,37,Primary,65,99,22,Primary,80,57,88,Normal,13,21,83,Normal,31,85,86,Regular,32,62,65,Standard,24,16,16,Standard,22,90,59,Default,37,98,79,Default,64,12,46,Standard,45,27,36,Regular,43,35,97,Standard,18,19,74,Default,18,64,43,Regular,47,57,96,Default,66,98,39,Primary,29,58,27,Regular,79,88,47,Standard,34,68,1,Regular,76,32,35,Standard,22,73,33,Standard,94,86,57,Standard,2023-10-29
82,American University in Dubai,202526,39,84,84,Primary,97,13,43,Primary,6,91,78,Normal,72,87,39,Default,98,86,6,Standard,61,20,94,Standard,86,40,68,Regular,38,25,25,Normal,34,12,44,Primary,27,4,55,Primary,2,24,100,Default,55,11,28,Default,36,98,64,Primary,89,29,35,Default,86,50,25,Regular,39,24,38,Normal,93,100,69,Regular,26,20,19,Regular,63,95,95,Normal,26,9,72,Default,16,6,83,Normal,67,53,33,Default,11,61,18,Default,2025-12-20
80,Abu Dhabi University,202526,30,32,74,Normal,80,44,78,Primary,66,24,50,Regular,32,95,12,Primary,97,75,45,Regular,81,65,85,Default,55,64,50,Primary,61,19,19,Normal,87,29,30,Standard,89,92,64,Standard,36,41,39,Normal,48,95,48,Standard,100,52,41,Standard,58,85,70,Normal,73,36,3,Default,34,38,89,Normal,46,78,65,Default,50,93,92,Standard,45,21,33,Primary,66,19,84,Standard,47,41,65,Default,44,89,53,Regular,86,93,75,Regular,2025-04-24
77,Khalifa University,202425,21,68,45,Standard,8,92,99,Default,4,91,20,Regular,82,71,74,Standard,75,44,72,Primary,2,13,3,Default,25,25,56,Standard,55,13,13,Default,51,10,99,Primary,18,7,26,Regular,60,44,53,Regular,39,68,20,Default,93,60,84,Normal,69,100,94,Primary,16,29,83,Default,23,22,7,Normal,80,87,93,Normal,17,49,66,Default,55,19,91,Default,42,66,75,Regular,4,65,47,Primary,57,81,1,Primary,59,69,69,Normal,2025-08-05
83,British University in Dubai,202526,67,75,73,Standard,37,44,34,Regular,52,30,62,Primary,82,29,18,Default,35,23,80,Default,62,44,76,Standard,12,59,64,Regular,65,33,33,Regular,54,75,94,Normal,28,77,75,Default,61,86,59,Primary,34,18,81,Primary,71,31,10,Normal,29,13,65,Default,57,26,86,Default,7,95,43,Default,64,22,96,Normal,74,37,25,Primary,16,75,59,Standard,32,33,26,Normal,94,8,34,Standard,82,74,28,Regular,50,79,13,Default,2021-01-13
77,Khalifa University,202526,68,88,38,Standard,20,37,51,Normal,60,81,1,Normal,82,84,64,Normal,19,37,59,Primary,96,25,86,Primary,100,64,40,Default,90,12,12,Regular,63,24,57,Default,26,1,69,Default,46,85,81,Regular,91,41,58,Default,86,98,12,Regular,22,26,15,Standard,10,56,25,Default,21,73,5,Normal,91,9,84,Standard,50,76,7,Standard,9,47,64,Normal,60,58,21,Primary,32,54,91,Default,90,89,57,Standard,37,33,46,Primary,2021-04-16
84,Dubai Medical College,202526,87,56,82,Standard,8,15,73,Default,28,1,95,Standard,68,61,31,Default,97,88,54,Normal,72,42,57,Regular,2,78,65,Normal,91,4,4,Standard,42,73,76,Default,26,35,55,Normal,22,56,33,Primary,23,78,7,Default,67,44,34,Primary,25,39,5,Standard,73,12,83,Default,50,75,19,Standard,80,47,77,Primary,39,68,22,Default,51,42,26,Standard,13,28,77,Standard,19,31,27,Standard,58,78,18,Normal,40,9,31,Default,2021-11-26
84,Dubai Medical College,202425,35,92,40,Regular,24,47,62,Regular,78,53,26,Primary,99,83,6,Standard,24,97,54,Normal,42,74,21,Primary,60,50,83,Regular,3,34,34,Regular,79,95,97,Primary,3,37,78,Normal,9,47,70,Regular,44,73,60,Normal,4,62,83,Standard,3,39,76,Regular,63,72,26,Normal,37,11,72,Regular,76,44,9,Normal,72,59,57,Default,80,61,4,Regular,53,18,13,Standard,9,93,25,Normal,100,84,32,Standard,50,8,59,Standard,2023-07-25
77,Khalifa University,202425,80,12,85,Standard,85,31,72,Primary,49,95,56,Normal,15,26,62,Normal,31,12,78,Primary,2,15,5,Standard,51,65,29,Default,33,13,13,Regular,24,68,41,Primary,31,63,54,Primary,19,17,30,Primary,37,70,44,Primary,64,65,8,Default,20,69,64,Default,63,63,56,Normal,21,80,14,Primary,13,56,99,Default,69,83,21,Normal,81,100,90,Standard,28,23,72,Standard,69,75,70,Primary,51,89,29,Normal,20,81,11,Default,2024-06-26
83,British University in Dubai,202425,94,84,18,Normal,91,5,48,Default,42,73,45,Regular,41,25,73,Standard,7,77,8,Primary,74,16,46,Regular,79,23,53,Standard,51,7,7,Normal,41,34,80,Normal,63,38,63,Regular,54,94,79,Default,12,98,52,Normal,30,51,19,Standard,3,78,68,Standard,14,1,14,Standard,85,3,97,Normal,60,7,56,Default,80,18,54,Normal,53,63,69,Normal,81,15,92,Normal,23,56,86,Regular,19,41,85,Normal,23,4,92,Regular,2020-10-16
78,American University of Sharjah,202526,13,76,58,Normal,9,83,89,Normal,9,89,77,Normal,94,2,70,Normal,57,96,53,Standard,8,31,61,Standard,50,53,75,Primary,22,32,32,Regular,32,22,39,Primary,15,34,2,Normal,60,2,80,Primary,48,43,16,Normal,15,9,88,Normal,49,16,10,Regular,19,23,57,Normal,33,24,74,Primary,6,38,71,Default,77,41,75,Normal,62,27,74,Default,18,95,21,Normal,77,11,22,Standard,80,94,35,Normal,89,17,90,Regular,2022-03-07
79,University of Sharjah,202526,1,65,32,Primary,85,52,18,Primary,71,72,12,Regular,60,47,11,Standard,45,17,78,Primary,2,73,6,Primary,42,46,65,Primary,59,65,65,Normal,66,84,82,Standard,1,38,57,Normal,15,95,49,Default,72,57,26,Default,62,92,72,Standard,99,99,3,Regular,17,61,72,Regular,90,95,43,Standard,96,18,60,Primary,71,14,9,Standard,90,38,35,Normal,29,48,30,Normal,93,24,100,Regular,66,62,38,Default,37,6,13,Primary,2024-08-13
79,University of Sharjah,202526,76,92,43,Normal,17,64,76,Primary,69,49,48,Normal,51,28,63,Default,25,62,99,Primary,92,20,74,Primary,62,90,25,Primary,39,85,85,Normal,12,45,73,Normal,26,93,10,Normal,37,99,92,Default,18,49,34,Primary,44,92,76,Default,58,76,18,Regular,73,7,76,Standard,62,59,95,Standard,38,66,90,Standard,43,25,19,Default,46,23,86,Regular,37,71,77,Primary,75,46,48,Default,61,74,25,Default,41,98,65,Default,2024-12-18
80,Abu Dhabi University,202425,83,5,5,Default,6,14,18,Standard,53,24,74,Default,36,63,61,Normal,8,18,77,Default,70,72,1,Regular,99,10,97,Default,86,65,65,Default,57,82,33,Primary,97,57,20,Normal,35,11,44,Regular,80,13,99,Default,68,41,46,Default,70,18,35,Regular,17,77,23,Primary,80,64,66,Regular,14,28,37,Normal,86,96,82,Normal,82,12,91,Default,74,18,58,Default,47,71,63,Primary,99,20,59,Default,74,42,51,Standard,2023-05-03
76,Zayed University,202526,37,56,95,Default,74,52,63,Normal,3,38,1,Default,90,77,47,Default,10,64,85,Normal,7,46,84,Standard,1,96,25,Regular,37,49,49,Normal,4,58,99,Default,49,1,67,Regular,17,84,60,Default,78,87,11,Default,28,2,74,Primary,54,89,4,Normal,51,83,33,Regular,37,89,96,Normal,72,1,38,Default,2,61,87,Regular,39,95,57,Regular,92,36,28,Default,12,20,8,Primary,61,5,62,Default,87,98,11,Normal,2024-01-11
77,Khalifa University,202526,74,58,34,Primary,84,28,53,Standard,41,77,8,Normal,13,45,37,Default,6,71,14,Default,15,84,88,Primary,30,86,96,Normal,28,75,75,Standard,67,20,64,Standard,24,44,40,Regular,76,88,68,Standard,8,61,27,Primary,7,82,94,Regular,39,97,89,Standard,43,57,18,Default,62,23,18,Standard,79,21,52,Regular,94,78,35,Standard,32,53,65,Default,44,20,83,Default,86,86,58,Standard,14,24,3,Regular,92,100,60,Normal,2020-09-27
81,Ajman University,202526,59,31,52,Regular,40,99,90,Normal,37,51,43,Primary,36,40,85,Regular,13,60,36,Primary,22,56,49,Standard,60,61,47,Normal,18,97,97,Primary,93,98,81,Default,53,75,60,Primary,84,39,72,Standard,98,14,28,Standard,18,45,62,Standard,87,88,8,Primary,92,34,83,Default,94,100,99,Normal,83,52,40,Default,20,55,43,Primary,38,64,44,Primary,8,86,31,Primary,75,77,52,Standard,35,10,81,Regular,55,85,81,Normal,2020-05-04
82,American University in Dubai,202526,57,72,19,Normal,31,39,34,Regular,21,77,87,Default,20,80,67,Regular,22,58,33,Standard,17,100,75,Default,16,94,26,Regular,22,97,97,Default,16,61,97,Primary,71,52,25,Regular,37,67,9,Default,81,75,98,Standard,31,73,70,Standard,9,99,83,Primary,49,53,93,Normal,89,96,95,Standard,25,62,65,Regular,58,78,19,Normal,17,26,47,Standard,100,79,63,Default,99,54,56,Normal,87,21,50,Normal,45,41,6,Normal,2021-05-05
84,Dubai Medical College,202526,28,58,12,Regular,68,72,55,Primary,26,76,29,Standard,62,3,39,Normal,71,19,75,Primary,59,55,98,Normal,66,50,46,Default,23,80,80,Standard,47,62,69,Regular,6,96,80,Regular,33,73,84,Standard,43,47,47,Standard,89,62,76,Standard,91,79,52,Default,9,9,70,Standard,8,48,41,Regular,5,58,88,Primary,45,70,89,Regular,62,7,41,Normal,89,9,79,Standard,8,75,43,Normal,35,60,50,Default,99,33,75,Standard,2023-10-01
78,American University of Sharjah,202425,67,46,49,Default,13,48,93,Standard,45,95,46,Regular,83,33,98,Default,96,43,16,Normal,8,24,90,Primary,6,13,64,Default,33,26,26,Normal,91,13,77,Standard,74,73,49,Default,73,73,55,Normal,24,48,8,Regular,81,81,31,Default,89,53,65,Normal,57,44,4,Primary,28,30,61,Default,83,59,77,Primary,97,27,38,Standard,25,17,35,Default,79,7,89,Standard,2,23,84,Normal,35,27,5,Normal,11,93,41,Standard,2023-11-10
78,American University of Sharjah,202425,24,57,62,Regular,7,70,6,Normal,9,40,18,Regular,84,28,41,Primary,48,45,95,Normal,13,54,32,Standard,44,68,81,Standard,24,86,86,Primary,72,32,3,Normal,71,41,89,Standard,98,62,33,Regular,30,79,9,Primary,61,12,9,Default,68,23,62,Default,38,83,39,Standard,49,76,98,Primary,63,2,81,Primary,64,92,40,Default,36,31,53,Primary,85,67,25,Regular,68,40,89,Regular,61,78,64,Normal,97,52,43,Regular,2021-06-09
81,Ajman University,202526,46,71,76,Standard,3,22,2,Standard,33,21,10,Standard,39,33,26,Normal,84,28,91,Default,19,27,51,Regular,95,10,32,Regular,56,33,33,Regular,1,42,93,Default,89,40,24,Regular,35,98,28,Standard,28,35,57,Normal,57,84,76,Default,73,13,64,Primary,50,25,53,Standard,14,31,40,Default,29,9,72,Default,94,45,68,Regular,6,78,67,Default,42,59,15,Normal,59,79,66,Normal,80,76,29,Standard,40,84,90,Primary,2023-11-14
84,Dubai Medical College,202526,69,60,45,Primary,9,96,67,Regular,53,26,91,Standard,18,9,55,Regular,24,56,24,Primary,27,38,74,Primary,21,74,18,Primary,21,7,7,Default,12,45,20,Normal,20,79,47,Normal,51,45,76,Primary,34,15,20,Primary,91,60,54,Default,24,73,50,Default,71,95,76,Regular,98,29,37,Primary,96,99,87,Normal,23,19,12,Regular,2,13,52,Normal,88,63,84,Primary,56,85,27,Primary,84,90,64,Standard,53,6,35,Default,2023-02-07
81,Ajman University,202425,52,25,97,Default,33,41,18,Normal,11,36,9,Default,71,88,47,Regular,39,61,13,Standard,71,21,87,Normal,35,78,27,Regular,68,83,83,Standard,67,52,42,Primary,24,16,12,Default,53,14,7,Primary,64,13,64,Primary,22,68,65,Standard,9,42,99,Regular,16,2,56,Regular,13,52,36,Primary,5,10,42,Default,39,13,52,Primary,35,5,15,Primary,50,63,97,Default,93,64,76,Normal,68,33,73,Default,44,83,35,Regular,2023-06-29
