Institution_Code,Institution_Name,Project_Title,Project_ID,project_summary,Project_keywords,Principal_Investigator,PI_ORCID,Research_Department,Research_College,Rsearch_Center,Research_Year,Funding_Amount,Funding_Entity,Funding_Source,Partner_Name,Research_Domain,Research_Priority,Research_Type,Research_TRL,Start_Date,End_Date,Project_Status,Joint_Industry_Indicator,Joint_Industry_partner,Joint_Partner_type,Joint_contribution_type,Joint_Partner_funds,Joint_Intellectual,International_Collabo_Indicator,Joint_INTL_partner,Joint_INTLPartner_type,Joint_INTLcontribution_type,Joint_INTLPartner_funds,Joint_INTLIntellectual,Joint_INTLIntellectual_other,Program_codes,Impact_indicator,Impact_Assessment,Last_Updated
80,Abu Dhabi University,Introduction to Physics,RP20232962,This is a detailed description of the project focusing on innovation.,"Data Science, Blockchain, Cloud Computing",50,6247-9448-2698-1978,Marketing,College of Law,Yes,2025,2385455.01,UAE Research Council,"G, HEI",Sheikha Al Nuaimi,"2.1, 3.5",E0,Part-time,Yes,2022-05-10,2025-06-10,Inactive,Y,Microsoft,Full-time,Part-time,42,J,Y,Boeing,Part-time,Full-time,46,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-10-16
75,United Arab Emirates University,Principles of Medicine,RP20243799,This is a detailed description of the program focusing on excellence.,"AI, Cloud Computing, IoT",11,8678-3325-2826-6472,Physics,College of Education,No,2024,4571162.77,UAE Research Council,"G, HEI",Noor Al Zaabi,"2.1, 3.5",E0,Online,No,2022-06-28,2025-08-23,In Progress,Y,Microsoft,Part-time,Online,90,J,Y,Boeing,Part-time,Part-time,48,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-02-16
79,University of Sharjah,Principles of Architecture,RP20232800,This is a detailed description of the course focusing on excellence.,"Cloud Computing, Cybersecurity, IoT",42,5435-5202-2522-9521,Chemistry,College of Engineering,No,2024,1476311.5,UAE Research Council,"G, HEI",Maitha Al Mansoori,"2.1, 3.5",E0,Part-time,No,2021-06-10,2024-05-27,In Progress,Y,Microsoft,Online,Full-time,48,J,Y,Boeing,Online,Online,78,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2022-10-02
81,Ajman University,Advanced Biology,RP20239343,This is a detailed description of the course focusing on excellence.,"Cloud Computing, Data Science, Cybersecurity",14,3508-1658-2632-5888,Medicine,College of Science,Yes,2025,1778836.89,UAE Research Council,"G, HEI",Abdullah Al Falasi,"2.1, 3.5",E0,Part-time,Yes,2023-10-02,2025-09-11,Completed,Y,Microsoft,Online,Part-time,53,J,Y,Boeing,Part-time,Full-time,31,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-01-09
76,Zayed University,Advanced Psychology,RP20259135,This is a detailed description of the program focusing on innovation.,"Cybersecurity, Blockchain, Cloud Computing",27,1077-7130-6906-3226,Economics,College of Engineering,Yes,2024,6588665.75,UAE Research Council,"G, HEI",Rashid Al Kaabi,"2.1, 3.5",E0,Full-time,No,2022-04-09,2024-04-29,Completed,Y,Microsoft,Full-time,Online,59,J,Y,Boeing,Part-time,Part-time,81,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-03-24
75,United Arab Emirates University,Advanced Accounting,RP20253597,This is a detailed description of the course focusing on excellence.,"Cloud Computing, AI, IoT",23,1331-7790-1834-5648,Islamic Studies,College of Law,Yes,2024,703244.31,UAE Research Council,"G, HEI",Abdullah Al Zaabi,"2.1, 3.5",E0,Full-time,Yes,2020-06-06,2024-11-15,Inactive,Y,Microsoft,Online,Part-time,48,J,Y,Boeing,Part-time,Full-time,54,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-05-03
84,Dubai Medical College,Applied Arabic Studies,RP20256529,This is a detailed description of the program focusing on excellence.,"AI, IoT, Blockchain",04,9771-2046-3611-4892,Medicine,College of Business,No,2024,2698366.8,UAE Research Council,"G, HEI",Hassan Ahmed,"2.1, 3.5",E0,Part-time,Yes,2020-05-27,2025-10-09,Pending,Y,Microsoft,Online,Online,77,J,Y,Boeing,Online,Part-time,25,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-12-24
83,British University in Dubai,Applied Biology,RP20245939,This is a detailed description of the program focusing on quality.,"AI, Cybersecurity, Blockchain",11,8801-5485-1715-9608,Physics,College of Business,No,2024,1595077.26,UAE Research Council,"G, HEI",Noura Al Shamsi,"2.1, 3.5",E0,Full-time,Yes,2024-04-06,2024-06-14,Inactive,Y,Microsoft,Part-time,Online,98,J,Y,Boeing,Part-time,Part-time,2,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-06-21
83,British University in Dubai,Introduction to Architecture,RP20251208,This is a detailed description of the research focusing on quality.,"Cloud Computing, Cybersecurity, Blockchain",26,1948-9623-4281-6000,History,College of Arts and Humanities,Yes,2025,9147577.99,UAE Research Council,"G, HEI",Ali Al Zaabi,"2.1, 3.5",E0,Full-time,Yes,2020-01-23,2024-12-25,Active,Y,Microsoft,Full-time,Online,58,J,Y,Boeing,Online,Full-time,58,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-06-24
81,Ajman University,Introduction to Sociology,RP20247086,This is a detailed description of the research focusing on innovation.,"Cloud Computing, Machine Learning, Big Data",50,8951-8793-8396-2796,Pharmacy,College of Medicine,Yes,2025,3123393.46,UAE Research Council,"G, HEI",Latifa Al Junaibi,"2.1, 3.5",E0,Full-time,No,2021-12-03,2025-01-07,Pending,Y,Microsoft,Full-time,Part-time,54,J,Y,Boeing,Full-time,Full-time,37,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-03-12
75,United Arab Emirates University,Applied Pharmacy,RP20244756,This is a detailed description of the course focusing on innovation.,"Cybersecurity, Big Data, Machine Learning",42,5235-9242-5365-6834,Arabic Studies,College of Medicine,No,2025,2880658.07,UAE Research Council,"G, HEI",Aisha Al Dhaheri,"2.1, 3.5",E0,Full-time,No,2022-05-20,2026-12-14,Active,Y,Microsoft,Full-time,Part-time,13,J,Y,Boeing,Part-time,Full-time,30,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-10-30
81,Ajman University,Principles of Nursing,RP20246911,This is a detailed description of the program focusing on excellence.,"Cybersecurity, AI, Machine Learning",11,2137-9918-4297-7063,Computer Science,College of Science,Yes,2024,1124820.62,UAE Research Council,"G, HEI",Noor Al Mehairbi,"2.1, 3.5",E0,Part-time,No,2024-08-02,2025-03-21,Completed,Y,Microsoft,Online,Full-time,41,J,Y,Boeing,Part-time,Part-time,48,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-05-25
80,Abu Dhabi University,Advanced Business Administration,RP20231470,This is a detailed description of the project focusing on innovation.,"Machine Learning, IoT, AI",15,4399-3595-8292-5023,Computer Science,College of Medicine,Yes,2025,2169861.66,UAE Research Council,"G, HEI",Fatima Patel,"2.1, 3.5",E0,Full-time,Yes,2024-04-13,2024-02-27,Completed,Y,Microsoft,Part-time,Full-time,39,J,Y,Boeing,Part-time,Online,2,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-09-28
79,University of Sharjah,Principles of Sociology,RP20244843,This is a detailed description of the research focusing on quality.,"Cloud Computing, AI, Big Data",13,5388-2090-3266-1295,Islamic Studies,College of Medicine,Yes,2025,4528068.56,UAE Research Council,"G, HEI",Saeed Al Junaibi,"2.1, 3.5",E0,Full-time,Yes,2023-01-16,2025-02-17,Inactive,Y,Microsoft,Online,Online,45,J,Y,Boeing,Full-time,Online,32,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-12-01
79,University of Sharjah,Applied Electrical Engineering,RP20253365,This is a detailed description of the research focusing on development.,"AI, IoT, Blockchain",03,4993-2337-1041-9761,English Literature,College of Medicine,Yes,2024,5279011.45,UAE Research Council,"G, HEI",Maryam Al Dhaheri,"2.1, 3.5",E0,Online,Yes,2024-04-17,2025-10-16,Active,Y,Microsoft,Online,Online,53,J,Y,Boeing,Part-time,Full-time,93,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-03-13
76,Zayed University,Principles of History,RP20252444,This is a detailed description of the program focusing on innovation.,"Blockchain, Cloud Computing, Cybersecurity",45,7003-6220-1838-2792,History,College of Information Technology,No,2024,4468226.86,UAE Research Council,"G, HEI",Shamma Ahmed,"2.1, 3.5",E0,Part-time,No,2022-11-23,2024-07-05,Pending,Y,Microsoft,Full-time,Part-time,5,J,Y,Boeing,Online,Online,41,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-04-29
77,Khalifa University,Principles of Pharmacy,RP20246896,This is a detailed description of the course focusing on excellence.,"IoT, Machine Learning, Cloud Computing",43,3065-8296-5743-8413,Pharmacy,College of Law,Yes,2024,5556761.43,UAE Research Council,"G, HEI",Abdullah Al Mazrouei,"2.1, 3.5",E0,Full-time,No,2024-05-22,2024-06-14,In Progress,Y,Microsoft,Full-time,Part-time,28,J,Y,Boeing,Full-time,Part-time,22,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-04-24
82,American University in Dubai,Principles of Biology,RP20256448,This is a detailed description of the research focusing on quality.,"Machine Learning, Data Science, Cybersecurity",03,5047-2235-4234-8976,Architecture,College of Law,No,2025,8078819.33,UAE Research Council,"G, HEI",Omar Khan,"2.1, 3.5",E0,Online,No,2024-02-02,2026-09-10,In Progress,Y,Microsoft,Part-time,Online,19,J,Y,Boeing,Part-time,Online,19,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-08-28
84,Dubai Medical College,Principles of Accounting,RP20255248,This is a detailed description of the course focusing on development.,"Blockchain, Cloud Computing, AI",23,1790-3462-5991-2109,Marketing,College of Arts and Humanities,No,2024,4216929.89,UAE Research Council,"G, HEI",Hassan Hassan,"2.1, 3.5",E0,Full-time,Yes,2020-02-01,2026-03-26,Inactive,Y,Microsoft,Full-time,Online,43,J,Y,Boeing,Part-time,Full-time,95,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-05-02
81,Ajman University,Introduction to English Literature,RP20239039,This is a detailed description of the course focusing on excellence.,"Data Science, Blockchain, Cloud Computing",13,5654-1230-5567-1458,Pharmacy,College of Arts and Humanities,Yes,2024,5554395.34,UAE Research Council,"G, HEI",Ali Al Zaabi,"2.1, 3.5",E0,Online,Yes,2024-07-08,2026-03-16,Inactive,Y,Microsoft,Full-time,Full-time,91,J,Y,Boeing,Part-time,Part-time,100,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-10-13
77,Khalifa University,Introduction to Sociology,RP20242784,This is a detailed description of the course focusing on development.,"AI, IoT, Machine Learning",54,9771-7441-4576-4091,Physics,College of Medicine,Yes,2024,6946981.99,UAE Research Council,"G, HEI",Amna Singh,"2.1, 3.5",E0,Online,No,2022-06-28,2026-07-25,Pending,Y,Microsoft,Part-time,Online,97,J,Y,Boeing,Online,Full-time,15,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-01-05
76,Zayed University,Applied Law,RP20246422,This is a detailed description of the program focusing on quality.,"Blockchain, AI, Cybersecurity",15,5075-8032-2757-4879,Islamic Studies,College of Education,Yes,2024,149270.6,UAE Research Council,"G, HEI",Hessa Al Mehairbi,"2.1, 3.5",E0,Part-time,Yes,2020-11-21,2024-05-08,Inactive,Y,Microsoft,Part-time,Part-time,6,J,Y,Boeing,Part-time,Online,69,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-09-29
76,Zayed University,Applied Nursing,RP20236715,This is a detailed description of the course focusing on innovation.,"Data Science, AI, Cloud Computing",01,3572-6831-6982-7643,Sociology,College of Business,No,2024,5601726.39,UAE Research Council,"G, HEI",Sara Al Falasi,"2.1, 3.5",E0,Online,No,2024-07-01,2026-11-07,Inactive,Y,Microsoft,Online,Online,64,J,Y,Boeing,Part-time,Part-time,10,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2022-05-02
76,Zayed University,Advanced Physics,RP20253739,This is a detailed description of the research focusing on excellence.,"IoT, Big Data, Cybersecurity",15,1784-8602-9081-1159,Physics,College of Information Technology,No,2024,9557159.71,UAE Research Council,"G, HEI",Ali Al Junaibi,"2.1, 3.5",E0,Full-time,Yes,2024-09-16,2025-10-31,In Progress,Y,Microsoft,Online,Part-time,4,J,Y,Boeing,Online,Full-time,39,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-09-22
80,Abu Dhabi University,Applied Sociology,RP20245935,This is a detailed description of the research focusing on innovation.,"AI, Blockchain, IoT",05,3415-5949-1490-8939,English Literature,College of Information Technology,Yes,2024,8535664.59,UAE Research Council,"G, HEI",Hassan Patel,"2.1, 3.5",E0,Part-time,Yes,2021-02-03,2024-06-06,Active,Y,Microsoft,Online,Part-time,63,J,Y,Boeing,Online,Part-time,64,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-09-19
76,Zayed University,Introduction to Sociology,RP20247160,This is a detailed description of the course focusing on innovation.,"Data Science, Big Data, AI",40,5147-3231-9067-3793,English Literature,College of Medicine,No,2025,9670102.37,UAE Research Council,"G, HEI",Saeed Hassan,"2.1, 3.5",E0,Online,Yes,2020-03-16,2025-12-20,In Progress,Y,Microsoft,Online,Online,72,J,Y,Boeing,Full-time,Online,56,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-07-15
78,American University of Sharjah,Principles of Mechanical Engineering,RP20253876,This is a detailed description of the course focusing on excellence.,"Data Science, AI, Cloud Computing",43,4913-4049-2759-4956,Finance,College of Medicine,Yes,2025,3335564.23,UAE Research Council,"G, HEI",Mohammed Al Shamsi,"2.1, 3.5",E0,Online,Yes,2021-05-31,2024-06-02,Active,Y,Microsoft,Part-time,Online,64,J,Y,Boeing,Part-time,Part-time,52,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-01-01
76,Zayed University,Advanced Arabic Studies,RP20254643,This is a detailed description of the program focusing on development.,"Big Data, Cybersecurity, Machine Learning",27,1724-3194-8060-2380,Mathematics,College of Information Technology,Yes,2025,6163269.21,UAE Research Council,"G, HEI",Majid Al Mansoori,"2.1, 3.5",E0,Part-time,No,2023-05-26,2025-05-11,Inactive,Y,Microsoft,Part-time,Full-time,24,J,Y,Boeing,Online,Part-time,80,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-05-18
80,Abu Dhabi University,Introduction to Mathematics,RP20238513,This is a detailed description of the project focusing on development.,"Cybersecurity, AI, Cloud Computing",26,4190-9338-1156-2780,Chemistry,College of Law,Yes,2024,4827661.2,UAE Research Council,"G, HEI",Aisha Hassan,"2.1, 3.5",E0,Full-time,Yes,2021-07-21,2024-03-05,Completed,Y,Microsoft,Online,Part-time,40,J,Y,Boeing,Full-time,Full-time,56,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-03-24
79,University of Sharjah,Introduction to Pharmacy,RP20245510,This is a detailed description of the project focusing on innovation.,"Machine Learning, Cloud Computing, Blockchain",14,5497-1618-5308-3219,Accounting,College of Information Technology,Yes,2025,4740340.61,UAE Research Council,"G, HEI",Shamma Al Zaabi,"2.1, 3.5",E0,Online,No,2022-07-16,2025-04-17,Inactive,Y,Microsoft,Part-time,Full-time,38,J,Y,Boeing,Full-time,Online,9,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-08-05
78,American University of Sharjah,Applied History,RP20235501,This is a detailed description of the project focusing on development.,"Machine Learning, Cybersecurity, IoT",14,7207-5430-3453-4213,Computer Science,College of Information Technology,Yes,2024,1763295.33,UAE Research Council,"G, HEI",Saeed Ahmed,"2.1, 3.5",E0,Part-time,No,2023-08-03,2025-05-08,Active,Y,Microsoft,Online,Full-time,11,J,Y,Boeing,Full-time,Part-time,95,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-08-09
80,Abu Dhabi University,Applied Psychology,RP20233154,This is a detailed description of the program focusing on excellence.,"Blockchain, Big Data, Cybersecurity",26,3234-9265-1255-7973,Mathematics,College of Education,No,2024,6382063.34,UAE Research Council,"G, HEI",Noor Al Shamsi,"2.1, 3.5",E0,Part-time,Yes,2021-04-25,2026-01-02,Active,Y,Microsoft,Full-time,Full-time,74,J,Y,Boeing,Full-time,Full-time,65,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2025-01-21
75,United Arab Emirates University,Principles of Accounting,RP20244926,This is a detailed description of the course focusing on excellence.,"Blockchain, Big Data, Cloud Computing",16,7960-7621-3861-5439,Civil Engineering,College of Business,Yes,2025,1947748.76,UAE Research Council,"G, HEI",Sheikha Al Junaibi,"2.1, 3.5",E0,Part-time,No,2024-10-05,2025-11-01,Pending,Y,Microsoft,Full-time,Online,76,J,Y,Boeing,Part-time,Online,25,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-11-02
78,American University of Sharjah,Introduction to Electrical Engineering,RP20252777,This is a detailed description of the program focusing on development.,"Blockchain, Cybersecurity, Cloud Computing",13,7318-6675-1660-3460,Biology,College of Business,No,2025,7929786.81,UAE Research Council,"G, HEI",Hassan Al Mehairbi,"2.1, 3.5",E0,Part-time,Yes,2023-08-16,2024-01-09,Pending,Y,Microsoft,Full-time,Part-time,24,J,Y,Boeing,Full-time,Full-time,74,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2022-07-01
77,Khalifa University,Applied Pharmacy,RP20235883,This is a detailed description of the project focusing on innovation.,"Big Data, Data Science, Cloud Computing",11,7128-6884-3228-8830,Biology,College of Medicine,Yes,2025,1446555.07,UAE Research Council,"G, HEI",Maitha Al Kaabi,"2.1, 3.5",E0,Full-time,Yes,2022-09-10,2026-12-09,Active,Y,Microsoft,Part-time,Full-time,61,J,Y,Boeing,Part-time,Full-time,97,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2024-05-07
80,Abu Dhabi University,Applied Civil Engineering,RP20232580,This is a detailed description of the course focusing on innovation.,"Machine Learning, Data Science, Cybersecurity",52,9481-2606-4207-7397,Electrical Engineering,College of Science,No,2025,5848439.12,UAE Research Council,"G, HEI",Noor Al Dhaheri,"2.1, 3.5",E0,Full-time,No,2024-12-08,2024-12-18,In Progress,Y,Microsoft,Online,Full-time,97,J,Y,Boeing,Full-time,Online,96,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2021-08-25
80,Abu Dhabi University,Advanced Arabic Studies,RP20239642,This is a detailed description of the research focusing on excellence.,"IoT, Blockchain, AI",24,2190-5968-2596-4745,Chemistry,College of Medicine,Yes,2025,6692271.91,UAE Research Council,"G, HEI",Sara Al Falasi,"2.1, 3.5",E0,Part-time,No,2024-07-06,2025-04-03,Inactive,Y,Microsoft,Part-time,Part-time,78,J,Y,Boeing,Online,Full-time,13,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-12-27
83,British University in Dubai,Advanced Law,RP20235479,This is a detailed description of the research focusing on innovation.,"IoT, Machine Learning, AI",50,1932-6064-7914-4781,Economics,College of Information Technology,No,2025,3951687.18,UAE Research Council,"G, HEI",Abdullah Al Mansoori,"2.1, 3.5",E0,Part-time,No,2020-10-20,2026-11-21,In Progress,Y,Microsoft,Full-time,Part-time,61,J,Y,Boeing,Part-time,Part-time,85,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2023-10-11
81,Ajman University,Advanced Physics,RP20243315,This is a detailed description of the course focusing on excellence.,"Machine Learning, Data Science, Blockchain",15,8914-2520-4621-3701,Nursing,College of Law,No,2024,179506.3,UAE Research Council,"G, HEI",Latifa Al Dhaheri,"2.1, 3.5",E0,Online,No,2021-08-22,2025-01-19,Inactive,Y,Microsoft,Part-time,Part-time,92,J,Y,Boeing,Online,Full-time,26,J,Knowledge transfer worksops,75.MA.20001; 75.BA.30001,Y,Expected to improve healthcare diagnostics,2020-03-08
